solver,open_rate,hit100,gross100,cannibal100,net100,ratio100,status,artifact
Existing source,0.0,6392,0,0,0,,reference,results/20260506_rees46_stage_p_confidence_calibrated_open070/rees46_confidence_calibrated_promotion_summary.json
Exact validation fusion,,5999,318,711,-393,2.2358490566037736,net fail,results/20260505_rees46_exact_stage_m_grid_full/rees46_exact_list_fusion_grid_summary.json
Always-on promotion,1.0,6437,122,77,45,0.6311475409836066,ratio fail,results/20260505_rees46_stage_n_promotion_full/rees46_source_aware_promotion_gate_summary.json
CASP P-A: confidence solver,0.5222956234516928,6438,83,37,46,0.4457831325301205,feasible,results/20260506_rees46_stage_p_confidence_calibrated_open070/rees46_confidence_calibrated_promotion_summary.json
CASP-L2: compact logistic gate,0.6403208682316858,6446,97,43,54,0.44329896907216493,feasible,results/20260508_rees46_learned_casp_gate_logistic_compact/rees46_learned_casp_gate_logistic_compact_summary.json
P-B: shallow tree,0.6490503715937241,6422,83,53,30,0.6385542168674698,ratio fail,results/20260506_rees46_stage_p_transparent_tree/rees46_stage_p_tree_calibrator_summary.json
P-B: interaction rules,0.5413471747080335,6430,81,43,38,0.5308641975308642,ratio fail,results/20260506_rees46_stage_p_interaction_rule_grid/rees46_stage_p_interaction_rule_grid_summary.json
P-B: list-residual rules,0.5222956234516928,6438,83,37,46,0.4457831325301205,returns P-A,results/20260506_rees46_stage_p_list_residual/rees46_stage_p_list_residual_summary.json
P-C: learned two-head HGB,0.4157131060516692,6417,64,39,25,0.609375,ratio fail,results/20260507_rees46_learned_casp_gate_two_head_hgb/rees46_learned_casp_gate_two_head_hgb_summary.json
P-C: learned utility HGB,0.4490385749675593,6421,69,40,29,0.5797101449275363,ratio fail,results/20260507_rees46_learned_casp_gate_utility_hgb/rees46_learned_casp_gate_utility_hgb_summary.json
P-C: LGBM action ranker,0.8246431520585112,6444,115,63,52,0.5478260869565217,ratio fail,results/20260507_rees46_lgbm_casp_ranker/rees46_lgbm_casp_ranker_summary.json
DLCM slate reranker,,5773,486,1105,-619,2.2736625514403292,net fail,results/20260508_rees46_dlcm_slate_reranker_full_fast/rees46_dlcm_slate_reranker_summary.json
PRM slate reranker,,5866,489,1015,-526,2.0756646216768915,net fail,results/20260508_rees46_prm_slate_reranker_full_fast/rees46_prm_slate_reranker_summary.json
